fact_check_id,claim,instances,title,full_text
118687,Security check ที่สนามบินในอัฟกานิสถาน,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9M32T9#8a41cd53d82bcb6da683064f2ca1e46a'],"โพสต์เสียดสีเกี่ยวกับ ""มาตรการรักษาความปลอดภัยหละหลวมในสนามบินอัฟกานิสถาน"" ใช้ภาพเก่าที่ถ่ายในประเทศเยเมน","โพสต์เสียดสีเกี่ยวกับ ""มาตรการรักษาความปลอดภัยหละหลวมในสนามบินอัฟกานิสถาน"" ใช้ภาพเก่าที่ถ่ายในประเทศเยเมน security check ที่สนามบินในอัฟกานิสถาน"
148640,WHO ยืนยัน protein resveratrol probiotic ป้องกันอาการ Long Covid ได้,['https://factcheckthailand.afp.com/doc.afp.com.32BY4PH#c0700072d91d8f7cc74ca8029c68be8a'],องค์การอนามัยโลกไม่ได้อนุมัติอาหารเสริมไทยที่อ้างว่าใช้ “ป้องกันโรค Long Covid”,องค์การอนามัยโลกไม่ได้อนุมัติอาหารเสริมไทยที่อ้างว่าใช้ “ป้องกันโรค long covid” who ยืนยัน protein resveratrol probiotic ป้องกันอาการ long covid ได้
148641,WHO เลือกมะละกอเป็นผลไม้ที่มีคุณค่าทางโภชนาการสูงสุด,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9RB3YT#dedeacf697987a0be531ebb1c289e18f'],องค์การอนามัยโลก ปฏิเสธคำกล่าวอ้างว่าคัดเลือกมะละกอเป็น “ผลไม้ที่มีคุณค่าทางโภชนาการมากที่สุด”,องค์การอนามัยโลก ปฏิเสธคำกล่าวอ้างว่าคัดเลือกมะละกอเป็น “ผลไม้ที่มีคุณค่าทางโภชนาการมากที่สุด” who เลือกมะละกอเป็นผลไม้ที่มีคุณค่าทางโภชนาการสูงสุด
193241,กฏใหม่ของ Facebook/Meta จะเริ่มวันพรุ่งนี้ ทำให้สามารถใช้ข้อมูลได้?,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9TC68A-1#1d39502e46c58f5171857ae296a8e600'],เฟซบุ๊กปฏิเสธข่าวปลอมเกี่ยวกับกฏใหม่ที่ “อนุญาตให้เข้าถึงข้อมูลทั้งหมดของผู้ใช้”,เฟซบุ๊กปฏิเสธข่าวปลอมเกี่ยวกับกฏใหม่ที่ “อนุญาตให้เข้าถึงข้อมูลทั้งหมดของผู้ใช้” กฏใหม่ของ facebook/meta จะเริ่มวันพรุ่งนี้ ทำให้สามารถใช้ข้อมูลได้?
193242,กด ‘ยกเลิก’ สองครั้งก่อนถอนเงินที่ ATM จะช่วยป้องกันการขโมยรหัส?,['https://factcheckthailand.afp.com/no-pressing-cancel-twice-atm-does-not-protect-against-fraud-th#be0acc4c44bbc1e4649a156eb0c62cdc'],การกดปุ่ม ‘ยกเลิก’ สองครั้งในตู้ ATM ไม่สามารถช่วยป้องกันการขโมยรหัสได้,การกดปุ่ม ‘ยกเลิก’ สองครั้งในตู้ atm ไม่สามารถช่วยป้องกันการขโมยรหัสได้ กด ‘ยกเลิก’ สองครั้งก่อนถอนเงินที่ atm จะช่วยป้องกันการขโมยรหัส?
193243,กรมอุตุนิยมวิทยาไทยเตือนเรื่องสภาพอากาศเปลี่ยนรุนแรง?,['https://factcheckthailand.afp.com/thailands-weather-agency-warns-old-hoax-about-extreme-weather-circulating-social-media-th#ea9a2ca22679f89a5a655f692d007afd'],กรมอุตุนิยมวิทยาไทยเตือน ข่าวลวงเก่าเกี่ยวกับสภาพอากาศรุนแรงถูกแชร์ทางสื่อสังคมออนไลน์,กรมอุตุนิยมวิทยาไทยเตือน ข่าวลวงเก่าเกี่ยวกับสภาพอากาศรุนแรงถูกแชร์ทางสื่อสังคมออนไลน์ กรมอุตุนิยมวิทยาไทยเตือนเรื่องสภาพอากาศเปลี่ยนรุนแรง?
193244,กระทรวงสาธารณสุขยืนยันฟ้าทะลายโจร ต้านโควิด-19 ได้,['https://factcheckthailand.afp.com/old-video-shared-alongside-claim-green-chiretta-can-protect-covid-19-th#5e43220974bdcf026ec6f0bbce8c9eac'],วิดีโอเก่าถูกแชร์พร้อมคำกล่าวอ้างว่า “ฟ้าทะลายโจร” สามารถใช้เพื่อต้านโควิด-19 ได้,วิดีโอเก่าถูกแชร์พร้อมคำกล่าวอ้างว่า “ฟ้าทะลายโจร” สามารถใช้เพื่อต้านโควิด-19 ได้ กระทรวงสาธารณสุขยืนยันฟ้าทะลายโจร ต้านโควิด-19 ได้
193245,กระเทียมดำกันมะเร็ง 6 เท่า?,['https://factcheckthailand.afp.com/no-evidence-black-garlic-can-prevent-cancer-experts-say-th#5cd8813e1e3270428dc8423c53201a08'],ผู้เชี่ยวชาญระบุไม่มีหลักฐานว่ากระเทียมดำสามารถป้องกันมะเร็งได้,ผู้เชี่ยวชาญระบุไม่มีหลักฐานว่ากระเทียมดำสามารถป้องกันมะเร็งได้ กระเทียมดำกันมะเร็ง 6 เท่า?
193246,กระเป๋าเป้ส้มเป็นสัญลักษณ์บอกว่าเด็กผู้นั้นมีความบกพร่องการได้ยินหรือการฟัง,['https://factcheckthailand.afp.com/doc.afp.com.32G23DD#ce79be7b8db2993b6d35dc244ce1b8e4'],“กระเป๋าเป้ส้ม” เป็นการรณรงค์เรื่องความปลอดภัยสำหรับเด็กหูหนวกในประเทศจีน ไม่ใช่ประเทศไทย,“กระเป๋าเป้ส้ม” เป็นการรณรงค์เรื่องความปลอดภัยสำหรับเด็กหูหนวกในประเทศจีน ไม่ใช่ประเทศไทย กระเป๋าเป้ส้มเป็นสัญลักษณ์บอกว่าเด็กผู้นั้นมีความบกพร่องการได้ยินหรือการฟัง
193247,กระโดดแรงๆ ราว 15-20 ครั้ง สามารถรักษาอาการปัสสาวะลำบากสำหรับผู้สูงอายุ,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9RH4G3#e3d654762c28f0c55454f46d997ea8e8'],โพสต์ออนไลน์แชร์คำกล่าวอ้างเท็จเรื่องการ “กระโดดแรงสามารถรักษาอาการปัสสาวะลำบากสำหรับผู้สูงอายุ”,โพสต์ออนไลน์แชร์คำกล่าวอ้างเท็จเรื่องการ “กระโดดแรงสามารถรักษาอาการปัสสาวะลำบากสำหรับผู้สูงอายุ” กระโดดแรงๆ ราว 15-20 ครั้ง สามารถรักษาอาการปัสสาวะลำบากสำหรับผู้สูงอายุ
193248,กลับจากอิตาลี่ประเทศเซเนกัลจะโดนยิงตายหมด สถานการณ์โควิด-19 ที่สนามบินเซเนกัล,['https://factcheckthailand.afp.com/video-shows-security-exercise-simulating-hostage-taking-dakar-airport-th#fc4f2774c41bdfda4259a530fc4822c4'],วิดีโอนี้เป็นการซ้อมจำลองเหตุการณ์จับตัวประกันที่สนามบินนานาชาติในประเทศเซเนกัล,วิดีโอนี้เป็นการซ้อมจำลองเหตุการณ์จับตัวประกันที่สนามบินนานาชาติในประเทศเซเนกัล กลับจากอิตาลี่ประเทศเซเนกัลจะโดนยิงตายหมด สถานการณ์โควิด-19 ที่สนามบินเซเนกัล
193249,กลั้วคอด้วยยาฆ่าเชื้อ โพวิโด-ไอโอดีน สามารถป้องกันการติดเชื้อโควิด-19,['https://factcheckthailand.afp.com/gargling-antiseptic-does-not-prevent-coronavirus-health-experts-say-th#fec88c086a2f16466f40eb1b8bb63fc2'],ผู้เชี่ยวชาญด้านสุขภาพเตือน การกลั้วคอด้วยยาฆ่าเชื้อไม่สามารถป้องกันโรคโควิด-19,ผู้เชี่ยวชาญด้านสุขภาพเตือน การกลั้วคอด้วยยาฆ่าเชื้อไม่สามารถป้องกันโรคโควิด-19 กลั้วคอด้วยยาฆ่าเชื้อ โพวิโด-ไอโอดีน สามารถป้องกันการติดเชื้อโควิด-19
193250,กองทัพจีนในเมือง Fujian ซ้อมรบโดยการระดมยิงปืนต่อสู้อากาศยานไปทางไต้หวัน,['https://factcheckthailand.afp.com/doc.afp.com.32FY62Q#6676e7905cd942888f43e2889c9ae871'],คลิปวิดีโอการซ้อมรบของกองทัพไต้หวันในปี 2563 ถูกแชร์ว่าเป็นการซ้อมรบของจีน หลังการเยือนของเพโลซี,คลิปวิดีโอการซ้อมรบของกองทัพไต้หวันในปี 2563 ถูกแชร์ว่าเป็นการซ้อมรบของจีน หลังการเยือนของเพโลซี กองทัพจีนในเมือง fujian ซ้อมรบโดยการระดมยิงปืนต่อสู้อากาศยานไปทางไต้หวัน
193251,กองบัญชาการตำรวจสอบสวนกลางประกาศกลอุบายของโจรเปิดก๊อกน้ำเพื่อให้คนออกมานอกบ้าน,['https://factcheckthailand.afp.com/old-hoax-recirculates-online-thailand-about-water-tap-burglary-trick-warning-police-th#2b428d5d7561b789c38d934963382190'],ข่าวปลอมเก่าปรากฏในโลกโซเชียลอีกครั้ง โดยระบุว่าตำรวจได้ประกาศการแจ้งเตือนเกี่ยวกับกลอุบาย “โจรเปิดก๊อกน้ำ”,ข่าวปลอมเก่าปรากฏในโลกโซเชียลอีกครั้ง โดยระบุว่าตำรวจได้ประกาศการแจ้งเตือนเกี่ยวกับกลอุบาย “โจรเปิดก๊อกน้ำ” กองบัญชาการตำรวจสอบสวนกลางประกาศกลอุบายของโจรเปิดก๊อกน้ำเพื่อให้คนออกมานอกบ้าน
193252,กัญชาดองน้ำผึ้งสามารถรักษา 40 อาการ,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9PQ49F-1#fa040fdad896cb271016c2b660498d76'],ผู้ใช้เฟซบุ๊กแชร์คำกล่าวอ้างเท็จว่า “กัญชาดองน้ำผึ้งสามารถรักษา 40 อาการ”,ผู้ใช้เฟซบุ๊กแชร์คำกล่าวอ้างเท็จว่า “กัญชาดองน้ำผึ้งสามารถรักษา 40 อาการ” กัญชาดองน้ำผึ้งสามารถรักษา 40 อาการ
193253,กัญชาวันละ 1-2 หยด รักษาและป้องกัน 39 โรคร้าย,['https://factcheckthailand.afp.com/doc.afp.com.32DB2RC#3509da469eeb310c37bdd8adc67eff5e'],โพสต์เฟซบุ๊กแชร์คำกล่าวอ้างที่ทำให้เข้าใจผิดเกี่ยวกับประโยชน์ของกัญชา หลังประเทศไทยผ่อนคลายกฏหมายควบคุม,โพสต์เฟซบุ๊กแชร์คำกล่าวอ้างที่ทำให้เข้าใจผิดเกี่ยวกับประโยชน์ของกัญชา หลังประเทศไทยผ่อนคลายกฏหมายควบคุม กัญชาวันละ 1-2 หยด รักษาและป้องกัน 39 โรคร้าย
193254,การกลั้นหายใจ 10 วินาทีเป็นวิธีตรวจสภาพปอดว่าติดเชื้อไวรัสโคโรน่าสายพันธุ์ใหม่,['https://factcheckthailand.afp.com/world-health-organization-refutes-viral-claims-holding-breath-can-test-novel-coronavirus-th#267dee4a5f408ba78e7a4cc63d3e9baa'],องค์การอนามัยโลกปฏิเสธคำกล่าวอ้างเรื่องการกลั้นหายใจเพื่อทดสอบการติดเชื้อโควิด-19 ด้วยตนเอง,องค์การอนามัยโลกปฏิเสธคำกล่าวอ้างเรื่องการกลั้นหายใจเพื่อทดสอบการติดเชื้อโควิด-19 ด้วยตนเอง การกลั้นหายใจ 10 วินาทีเป็นวิธีตรวจสภาพปอดว่าติดเชื้อไวรัสโคโรน่าสายพันธุ์ใหม่
193255,การกลั้วคอด้วยน้ำอุ่นผสมเกลือหรือน้ำส้มสายชูสามารถฆ่าเชื้อโควิด-19 ได้ขณะไวรัสอยู่ในคอ,['https://factcheckthailand.afp.com/phuuechiiywchaaydaansaathaarnsukhetuuen#fe809570a4b97dc485fb196277d50e60'],ผู้เชี่ยวชาญด้านสาธารณสุขเตือน การกลั้วคอด้วยน้ำอุ่นผสมเกลือหรือน้ำส้มสายชูไม่สามารถป้องกันการติดเชื้อโควิด-19 ได้,ผู้เชี่ยวชาญด้านสาธารณสุขเตือน การกลั้วคอด้วยน้ำอุ่นผสมเกลือหรือน้ำส้มสายชูไม่สามารถป้องกันการติดเชื้อโควิด-19 ได้ การกลั้วคอด้วยน้ำอุ่นผสมเกลือหรือน้ำส้มสายชูสามารถฆ่าเชื้อโควิด-19 ได้ขณะไวรัสอยู่ในคอ
193256,การกินทุเรียนกับ เครื่องดื่มที่มีน้ำตาลปริมาณมาก มีโอกาสทำให้คนที่เป็นโรคประจำตัวต่างๆ เช่น โรคหัวใจ หรือ โรคเบาหวาน ช๊อกตายได้,['https://factcheckthailand.afp.com/health-experts-refute-misleading-claim-eating-durians-and-cola-together-can-cause-death-th#d76536f1c58c8e9c544465e3eb7e52c7'],ผู้เชี่ยวชาญด้านสุขภาพปฏิเสธคำกล่าวอ้างเท็จที่ระบุว่าไม่ควรกินทุเรียนคู่กับโค้กเพราะจะทำให้เกิดอันตรายถึงขั้นเสียชีวิต,ผู้เชี่ยวชาญด้านสุขภาพปฏิเสธคำกล่าวอ้างเท็จที่ระบุว่าไม่ควรกินทุเรียนคู่กับโค้กเพราะจะทำให้เกิดอันตรายถึงขั้นเสียชีวิต การกินทุเรียนกับ เครื่องดื่มที่มีน้ำตาลปริมาณมาก มีโอกาสทำให้คนที่เป็นโรคประจำตัวต่างๆ เช่น โรคหัวใจ หรือ โรคเบาหวาน ช๊อกตายได้
193257,การกินมะระสามารถรักษาโรคมะเร็ง?,['https://factcheckthailand.afp.com/health-experts-say-bitter-melon-not-cure-cancer-th#ef1cd5868a3a50b65a7f786cf9d1342f'],ผู้เชี่ยวชาญด้านสุขภาพเตือนอย่าเชื่อคำกล่าวอ้างเท็จเกี่ยวกับการรับประทานมะระเพื่อรักษาโรคมะเร็ง,ผู้เชี่ยวชาญด้านสุขภาพเตือนอย่าเชื่อคำกล่าวอ้างเท็จเกี่ยวกับการรับประทานมะระเพื่อรักษาโรคมะเร็ง การกินมะระสามารถรักษาโรคมะเร็ง?
193258,การกินยาพาราเซตามอลเพียงไม่กี่เม็ดทำให้เป็นพิษต่อตับและไตได้?,['https://factcheckthailand.afp.com/paracetamol-pills-are-not-harmful-if-taken-according-to-doctors-prescription-medical-experts-say-th#6b0e1e476cbb338d5cb0609c9e8cc2f7'],ผู้เชี่ยวชาญด้านสุขภาพยืนยัน ยาพาราเซตามอลไม่เป็นพิษหากกินในปริมาณที่ถูกต้อง,ผู้เชี่ยวชาญด้านสุขภาพยืนยัน ยาพาราเซตามอลไม่เป็นพิษหากกินในปริมาณที่ถูกต้อง การกินยาพาราเซตามอลเพียงไม่กี่เม็ดทำให้เป็นพิษต่อตับและไตได้?
193259,การค้าอวัยวะเถื่อนในไทย,['https://factcheckthailand.afp.com/niiepnphaaphprakbkhaawkaarcchabkumhawhnaaaekngkhaayaaesphtidainpraethsaithy#85d95a3e0fda3e051b7c374767baca3e'],นี่เป็นภาพประกอบข่าวการจับกุมหัวหน้าแก๊งค้ายาเสพติดในประเทศไทย ไม่ใช่ภาพเหยื่อขบวนการค้าอวัยวะ,นี่เป็นภาพประกอบข่าวการจับกุมหัวหน้าแก๊งค้ายาเสพติดในประเทศไทย ไม่ใช่ภาพเหยื่อขบวนการค้าอวัยวะ การค้าอวัยวะเถื่อนในไทย
193260,การดื่มกาแฟดำผสมน้ำมะนาวสามารถช่วยบรรเทาอาการไมเกรนได้,['https://factcheckthailand.afp.com/misleading-claim-circulates-online-drinking-coffee-lime-can-relieve-migraines-th#bc365f5a407759b3fa0968cb9d47948d'],คำกล่าวอ้างที่ทำให้เข้าใจผิดถูกแชร์ออนไลน์ว่าการดื่มกาแฟดำผสมน้ำมะนาวช่วยบรรเทาไมเกรน,คำกล่าวอ้างที่ทำให้เข้าใจผิดถูกแชร์ออนไลน์ว่าการดื่มกาแฟดำผสมน้ำมะนาวช่วยบรรเทาไมเกรน การดื่มกาแฟดำผสมน้ำมะนาวสามารถช่วยบรรเทาอาการไมเกรนได้
193261,การดื่มน้ำมะพร้าวแกว่งสารส้มจะสามารถละลายนิ่วในไต?,['https://factcheckthailand.afp.com/misinformation-recirculates-online-thailand-drinking-coconut-water-mixed-potassium-aluminium-th#bdc8d0bfd02e7428f798faba1c75b42f'],ข้อมูลเท็จถูกแชร์พร้อมคำกล่าวอ้างว่าการดื่มน้ำมะพร้าวแกว่งสารส้มจะสามารถช่วย “รักษา”นิ่วในไตได้,ข้อมูลเท็จถูกแชร์พร้อมคำกล่าวอ้างว่าการดื่มน้ำมะพร้าวแกว่งสารส้มจะสามารถช่วย “รักษา”นิ่วในไตได้ การดื่มน้ำมะพร้าวแกว่งสารส้มจะสามารถละลายนิ่วในไต?
193262,การดื่มน้ำอุ่นผสมน้ำมะนาวช่วยป้องกันการติดเชื้อโควิด-19?,['https://factcheckthailand.afp.com/false-claims-drinking-water-lime-can-prevent-covid-19-circulate-online-th#65c164d93db2f9af526ae9e88aadf940'],คำกล่าวอ้างเท็จถูกแชร์ออนไลน์ว่าการดื่มน้ำอุ่นและน้ำมะนาวจะช่วยป้องกันการติดเชื้อโควิด-19,คำกล่าวอ้างเท็จถูกแชร์ออนไลน์ว่าการดื่มน้ำอุ่นและน้ำมะนาวจะช่วยป้องกันการติดเชื้อโควิด-19 การดื่มน้ำอุ่นผสมน้ำมะนาวช่วยป้องกันการติดเชื้อโควิด-19?
193263,การดื่มแอลกอฮอล์สามารถช่วยลดโอกาสการติดเชื้อไวรัสโคโรน่าได้?,['https://factcheckthailand.afp.com/fakehospitalletterth#40400f686b611e656a20fdc4f593414f'],จดหมายปลอมอ้างว่าการดื่มแอลกอฮอล์ช่วยลดโอกาสติดเชื้อ COVID-19 ได้,จดหมายปลอมอ้างว่าการดื่มแอลกอฮอล์ช่วยลดโอกาสติดเชื้อ covid-19 ได้ การดื่มแอลกอฮอล์สามารถช่วยลดโอกาสการติดเชื้อไวรัสโคโรน่าได้?
193264,การตรวจโควิดแบบ RT-PCR เชื่อถือไม่ได้ ให้ผลบวกลวงหรือ False Positive มหาศาล,['https://factcheckthailand.afp.com/http%253A%252F%252Fdoc.afp.com%252F9TK9R9#46c4eeb0dba421047245b984fd151448'],แพทย์ปฏิเสธคำกล่าวอ้างว่าการตรวจโควิด ชนิด PCR “ไม่แม่นยำและอันตราย”,แพทย์ปฏิเสธคำกล่าวอ้างว่าการตรวจโควิด ชนิด pcr “ไม่แม่นยำและอันตราย” การตรวจโควิดแบบ rt-pcr เชื่อถือไม่ได้ ให้ผลบวกลวงหรือ false positive มหาศาล
193265,การรับประทานกล้วยที่สุกเต็มที่จะช่วยสร้างสาร TNF เสริมภูมิคุ้มกัน,['https://factcheckthailand.afp.com/doc.afp.com.32A98XM#3b4173849aa09c8f8d881b2249c1a42e'],โพสต์ที่ทำให้เข้าใจผิดแชร์คำกล่าวอ้างเรื่อง “กล้วยที่สุกเต็มที่จะมีสารต่อต้านมะเร็ง”,โพสต์ที่ทำให้เข้าใจผิดแชร์คำกล่าวอ้างเรื่อง “กล้วยที่สุกเต็มที่จะมีสารต่อต้านมะเร็ง” การรับประทานกล้วยที่สุกเต็มที่จะช่วยสร้างสาร tnf เสริมภูมิคุ้มกัน
193266,การรับประทานซิงค์สามารถรักษาโรคโควิด-19,['https://factcheckthailand.afp.com/health-experts-warn-against-using-zinc-coronavirus-treatment-th#3bd400656ac8554ebbb8e6c0eef81447'],ผู้เชี่ยวชาญด้านสุขภาพเตือนเรื่องการใช้ซิงค์เพื่อรักษาไวรัสโควิด-19,ผู้เชี่ยวชาญด้านสุขภาพเตือนเรื่องการใช้ซิงค์เพื่อรักษาไวรัสโควิด-19 การรับประทานซิงค์สามารถรักษาโรคโควิด-19
193267,การรับประทานถั่วเหลืองและผลิตภัณฑ์ที่มาจากถั่วเหลืองจะเพิ่มความเสี่ยงในการเกิดโรคพาร์กินสัน,['https://factcheckthailand.afp.com/misleading-claim-circulates-online-excessive-soybean-consumption-can-increase-risk-parkinsons-th#13c78412c7c1e15aef74bb07e3ad9699'],คำกล่าวอ้างที่ทำให้เข้าใจผิดถูกแชร์ออนไลน์ว่าการบริโภคเต้าหู้ถั่วเหลืองและผลิตภัณฑ์ที่มาจากถั่วเหลืองเยอะเกินไปทำให้เป็นโรคพาร์กินสัน,คำกล่าวอ้างที่ทำให้เข้าใจผิดถูกแชร์ออนไลน์ว่าการบริโภคเต้าหู้ถั่วเหลืองและผลิตภัณฑ์ที่มาจากถั่วเหลืองเยอะเกินไปทำให้เป็นโรคพาร์กินสัน การรับประทานถั่วเหลืองและผลิตภัณฑ์ที่มาจากถั่วเหลืองจะเพิ่มความเสี่ยงในการเกิดโรคพาร์กินสัน
193268,การลุกจากที่นอนอย่างกระทันหันทำให้ขาดเลือดไปเลี้ยงสมอง ความดันโลหิตลดต่ำ,['https://factcheckthailand.afp.com/facebook-posts-mislead-stroke-dangers-people-getting-out-bed-too-quickly-th#c5efe9e6b253c5c4a0cd098a7fb5867e'],คำกล่าวอ้างที่ทำให้เข้าใจผิดเกี่ยวกับการลุกจากที่นอนอย่างกระทันหันทำให้ขาดเลือดไปเลี้ยงสมอง ถูกแชร์ในโพสต์ทางเฟซบุ๊ก,คำกล่าวอ้างที่ทำให้เข้าใจผิดเกี่ยวกับการลุกจากที่นอนอย่างกระทันหันทำให้ขาดเลือดไปเลี้ยงสมอง ถูกแชร์ในโพสต์ทางเฟซบุ๊ก การลุกจากที่นอนอย่างกระทันหันทำให้ขาดเลือดไปเลี้ยงสมอง ความดันโลหิตลดต่ำ
193269,การอุ่นข้าวที่แช่เย็นหลังการหุงด้วยน้ำมันมะพร้าวจะช่วยลดปริมาณน้ำตาลในข้าวได้ 70%?,['https://factcheckthailand.afp.com/no-evidence-reheating-rice-after-cooking-it-coconut-oil-will-reduce-amount-sugar-experts-say-th#fcedeecffdf8a195e01313d02463de74'],ผู้เชี่ยวชาญเตือนไม่มีหลักฐานยืนยันว่าการอุ่นข้าวที่แช่เย็นหลังการหุงด้วยน้ำมันมะพร้าวจะช่วยลดปริมาณน้ำตาลในข้าว,ผู้เชี่ยวชาญเตือนไม่มีหลักฐานยืนยันว่าการอุ่นข้าวที่แช่เย็นหลังการหุงด้วยน้ำมันมะพร้าวจะช่วยลดปริมาณน้ำตาลในข้าว การอุ่นข้าวที่แช่เย็นหลังการหุงด้วยน้ำมันมะพร้าวจะช่วยลดปริมาณน้ำตาลในข้าวได้ 70%?
