post_id,ps_instances,ps_verdicts,fact_check_id,fc_instances,ps_lang,fc_lang,fc_claim_source,fc_claim_target,fc_claim_langs,ps_text_source,ps_text_target,ps_text_langs,fc_title_source,fc_title_target,fc_title_langs,ps_ocr_source,ps_ocr_target,ps_ocr_langs
10,"[(1615191779.0, 'fb')]",False information,46,"(1617171480.0, 'https://factcheckkorea.afp.com/wen-daetongryeong-banmicinbug-1in-siwihaessda-2015nyeon-yeogsa-gyogwaseo-bandae-1in-siwi-sajin#17e5c06bbcba7d186715e1911f862a33')",kor,kor,문재인 대통령이 반미·친북 1인 시위를 벌였다.,President Moon Jae-in held an anti-US and pro-North Korean one-man protest.,"[('kor', 1.0)]",,,,"文 대통령, 반미·친북 1인 시위했다? 2015년 역사 교과서 반대 1인 시위 사진 조작한 것","President Moon held an anti-US, pro-North Korean one-man protest? Manipulating photos of one-person protests against history textbooks in 2015","[('kor', 1.0)]","이런한심한자가 대통령이란다.
반공법폐지
국정원폐지
한미동맹반대
통일연방제
북 핵은자위적
신미주당
미치광이 김정은의 하수인.
있는 대수술 9일","This pathetic person is the president.
abolition of anti-communist law
abolition of the NIS
Opposition to the US-Korea alliance
unified federal system
North Korea's nuclear weapons are self-defense
Shinmijudang
The minion of the madman Kim Jong-un.
9 days of major surgery","[('kor', 0.9596902132034302)]"
11,"[(1627798567.0, 'fb')]",Partly false information,23,"(1628054940.0, 'https://factcheckkorea.afp.com/http%253A%252F%252Fdoc.afp.com%252F9JU82Q-1#dead5487c9a9e43c79bb2a777c964370')",kor,kor,스타벅스가 한국 내 모든 매장을 닫고 철수하기로 했다,Starbucks to close all stores in Korea and withdraw,"[('kor', 1.0)]","🎯드디어 StarBucks 한국 탈출❗ 
🎯Star Bucks Korea의 주식을 전량 매각. 
1580개 점포 폐쇄. 
전세계 매출 2위 한국을 떠난다❗","🎯Finally, StarBucks escaped from Korea❗
🎯Sell all stocks of Star Bucks Korea.
1580 stores closed.
Leaving Korea, the world's second-largest in sales","[('kor', 1.0)]","스타벅스, 한국 내 모든 매장 닫는다? 회사 측 '사실무근'",Starbucks to close all stores in Korea? Company's 'groundless',"[('kor', 1.0)]",,,
12,"[(1591848183.0, 'fb')]",False information,34,"(1592237340.0, 'https://factcheck.afp.com/image-shows-roma-camp-north-paris#29bd8c4911eeb447ce5b90bee961970a')",eng,eng,"Photo shows homeless people in Los Angeles, California","Photo shows homeless people in Los Angeles, California","[('eng', 1.0)]","Hmmmm

""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself...""","Hmmmm

""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself...""","[('eng', 1.0)]",The image shows a Roma camp in the north of Paris,The image shows a Roma camp in the north of Paris,"[('eng', 1.0)]",,,
13,"[(1634131174.0, 'fb')]",False information,22,"(1635319020.0, 'https://factcheckkorea.afp.com/http%253A%252F%252Fdoc.afp.com%252F9QG72F-1#769b54554cbdd0a1b9117ad392456e5e')",kor,kor,국가유공자 중 50만 명에 달하는 인원이 전라도 출신이다,Nearly half a million people of national merit are from Jeollanam-do.,"[('kor', 1.0)]",,,,"전라도 출신 국가유공자, 50만 명에 달한다? 정부 공식 통계보다 높은 잘못된 수치","The number of people of national merit from Jeolla-do is 500,000? Wrong figure higher than official government statistics","[('kor', 1.0)]","전라도에서만 국가유공자가
50만이라니.이게
말이되나?김대중.노무현 정권하에서
국가유공자까지 하면
70만명이다.이들 직계가족들 까지
혜택을 받으니 그 수는 상상을 초월
한다.103만 공무원중 60~70%가
이들 유공자들이다.제도 정비가
시급하다.","Only in Jeolla Province, people of national merit
500,000. This is
Does it make sense? Under the Kim Dae-jung and Roh Moo-hyun regimes
Even national merit
700,000 people, including their immediate family
The number of benefits is beyond imagination
60~70% of 10.03 million civil servants
These are the people of merit.
urgent","[('kor', 1.0)]"
14,"[(1657414536.0, 'fb')]",False information,42,"(1657781880.0, 'https://factcheck.afp.com/doc.afp.com.32E83TB#ad44745b78bbf989ee38d2347c7a7758')",kor,eng,Trump statue erected on the site of a destroyed landmark in Georgia,Trump statue erected on the site of a destroyed landmark in Georgia,"[('eng', 1.0)]","여러분은 어떻게 생각하십니까?
저는 섬칫하네요
황금 최고의 평화시대가 잠시오구
그 뒤에는 정말 무서운 
단일화 ㆍ우상시대가 온다는게
맞는것 같으네요","What do you think?
I'm terrified
The golden age of best peace is coming soon
after that it's really scary
Unification ㆍThe age of idols is coming
I guess that's right","[('kor', 1.0)]",Edited image misleads in posts claiming Trump statue replaced destroyed US monument,Edited image misleads in posts claiming Trump statue replaced destroyed US monument,"[('eng', 1.0)]","새로운 조지아가이드스톤이 세워졌어요!!!
유엔뉴스
승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06
자료:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
그 새로운 조지아 가이드스톤은 완벽해!!!
여러분은 어떻게 생각하십니까??
의견 0
UNNEWS","A new Georgia guidestone has been established!!!
UN News
Approval 2022.07.08 22:45 | Last modified 2022.07.08 23:06
Material:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
That new Georgia guidestone is perfect!!!
What do you think??
0 comments
UNNEWS","[('kor', 0.6971482634544373), ('eng', 0.2676151394844055)]"
14,"[(1657414536.0, 'fb')]",False information,21,"(1657782000.0, 'https://factcheckkorea.afp.com/doc.afp.com.32E98RJ#522495d33c500f58df9e99ed72dddf31')",kor,kor,조지아 가이드스톤 구조물 자리에 트럼프 미국 전 대통령의 동상이 세워졌다.,A statue of former US President Donald Trump has been erected on the site of the Georgia Guidestone structure.,"[('kor', 1.0)]","여러분은 어떻게 생각하십니까?
저는 섬칫하네요
황금 최고의 평화시대가 잠시오구
그 뒤에는 정말 무서운 
단일화 ㆍ우상시대가 온다는게
맞는것 같으네요","What do you think?
I'm terrified
The golden age of best peace is coming soon
after that it's really scary
Unification ㆍThe age of idols is coming
I guess that's right","[('kor', 1.0)]",이 사진은 2010년 촬영된 사진에 트럼프 美 전 대통령 흉상 사진을 합성한 것이다,This photo is a composite of a photo taken in 2010 and a bust of former US President Donald Trump.,"[('kor', 1.0)]","새로운 조지아가이드스톤이 세워졌어요!!!
유엔뉴스
승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06
자료:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
그 새로운 조지아 가이드스톤은 완벽해!!!
여러분은 어떻게 생각하십니까??
의견 0
UNNEWS","A new Georgia guidestone has been established!!!
UN News
Approval 2022.07.08 22:45 | Last modified 2022.07.08 23:06
Material:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
That new Georgia guidestone is perfect!!!
What do you think??
0 comments
UNNEWS","[('kor', 0.6971482634544373), ('eng', 0.2676151394844055)]"
15,"[(1571672166.0, 'tw')]",,10,"(1572849540.0, 'https://factcheck.afp.com/video-lufthansa-aircraft-was-created-using-flight-simulator-programme#734d7eabef6809a176d441b4d187a269')",spa,eng,Bumpy landing of real Lufthansa flight,Bumpy landing of real Lufthansa flight,"[('eng', 1.0)]","Avion de lufthansa, se accideneta al querer aterrizar, la astucia del piloto evitá que ocurra una gran tragedia","Lufthansa plane, crashes when trying to land, the cunning of the pilot prevents a great tragedy from happening","[('spa', 1.0)]",This video of a Lufthansa aircraft was created using a flight simulator programme,This video of a Lufthansa aircraft was created using a flight simulator programme,"[('eng', 1.0)]",,,
16,"[(None, 'fb')]",,3,"(1579275420.0, 'https://factcheck.afp.com/no-deaths-were-reported-several-people-suffered-injuries-following-bus-crash-zambias-milima-region#8e41eb222d4ca54aa89ebee51fa575ea')",eng,eng,"Bus crash claims 18 lives in Milima, Zambia","Bus crash claims 18 lives in Milima, Zambia","[('eng', 1.0)]",18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.,18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.,"[('eng', 1.0)]",No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region,No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region,"[('eng', 1.0)]",,,
17,"[(1616552850.0, 'fb'), (1616552973.0, 'fb'), (1616493207.0, 'fb')]",False information,45,"(1617697980.0, 'https://factcheckkorea.afp.com/korona19-doggamboda-yaghan-gamgi-baireoseuda-jeonmunga-korona19-yubalhaneun-sars-cov-2-gamgi#ecf6e27c64bc63b96b638520573044e8')",kor,kor,코로나19는 독감보다 약한 감기 바이러스다.,COVID-19 is a cold virus that is weaker than the flu.,"[('kor', 1.0)]",,,,"코로나19, 독감보다 약한 감기 바이러스다? 전문가 ‘코로나19 유발하는 SARS-CoV-2, 감기 바이러스와 달라’",Is COVID-19 a weaker cold virus than the flu? Expert 'SARS-CoV-2 that causes Corona 19 is different from cold virus',"[('kor', 1.0)]","콜오나는 독감보다 약한
감기바이러스다.
대다수 건강한 국민은
자연면역력으로 치유가
가능하므로 콜오나백신을
맞을 필요가 없다.
콜오나는
상기도바이러스이므로
백신으로 혈액 속에 만든
인공적인 항체와 만날 수가
없어 집단면역은
불가능하다.
백신접종의 이익이 부작용
피해보다 크다는 주장은
과학적인 근거가 있나?","Kolona is weaker than the flu
a cold virus
Most healthy people
Healing with natural immunity
Because it is possible, the Kolona vaccine
no need to be right
Callona
Because upper respiratory tract virus
made in the blood as a vaccine
encounter with artificial antibodies
No herd immunity
impossible.
Vaccination benefits and side effects
claim that the damage is greater than
Is there any scientific basis?","[('kor', 0.971153974533081)]"
18,"[(1657223333.0, 'fb'), (1654696172.0, 'fb')]",False information.,0,"(1655739360.0, 'https://factcheck.afp.com/doc.afp.com.32CM7B6#ee0e1119e258f30f95f6876931cb0a51')",eng,eng,South Africa's PRASA hiring workers for railway,South Africa's PRASA hiring workers for railway,"[('eng', 1.0)]","PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others.","PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others.","[('eng', 1.0)]",Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route,Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route,"[('eng', 1.0)]",,,
19,"[(1596635492.0, 'fb')]",False information,14,"(1597120980.0, 'https://factcheck.afp.com/video-shows-road-chinas-guangdong-province#73cb3435c8766e61d685548dbdd4b24f')",eng,eng,"This video shows big potholes on a road in Mumbai, India","This video shows big potholes on a road in Mumbai, India","[('eng', 1.0)]","Vehicle suspension testing machine installed successfully by BMC in MUMBAI..
WHAT AN AMAZING TECHNOLOGY ... 👇","Vehicle suspension testing machine installed successfully by BMC in MUMBAI..
WHAT AN AMAZING TECHNOLOGY ... 👇","[('eng', 1.0)]",This video shows a road in China’s Guangdong province,This video shows a road in China’s Guangdong province,"[('eng', 1.0)]",,,
20,"[(1615337789.0, 'fb')]",False information,5,"(1617002880.0, 'https://factcheckkorea.afp.com/hyeolab-jeongsangsuci-hangugman-12080mmhg-sasil-anim-who-poham-segye-gaggug-bogeon-danggug-jeongsang#d3e79205ef53d05b01b4c3a32264d5ff')",kor,kor,"혈압 정상수치, 한국만 120/80mmHg다.",Normal blood pressure is 120/80 mmHg in Korea alone.,"[('kor', 1.0)]",,,,"혈압 정상수치, 한국만 120/80mmHg? 사실 아님… WHO 포함, 세계 각국 보건 당국 정상 혈압 120/80mmHg 미만 권고","Blood pressure normal value, 120/80mmHg only in Korea? not true... WHO and other health authorities around the world recommend a normal blood pressure of less than 120/80 mmHg","[('kor', 1.0)]","혈압 정상수치
140/100
(mmHg)
WHO 성인 혈압 권고치 입니다
한국만 120/80....약 팔아 먹기위해
의사협회의 압력이 이렇게 막강 합니다","normal blood pressure
140/100
(mmHg)
WHO recommendations for adult blood pressure
Only in Korea 120/80....To sell medicine
The pressure of the medical association is so strong","[('kor', 0.808708131313324), ('eng', 0.08710715919733047)]"
21,"[(1634160304.0, 'fb')]",Altered photo,48,"(1634637540.0, 'https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9PX8HQ-1#54b9de5760a2c26e1ec73c25f82bcc24')",kor,eng,This photo shows Kim Jong-un in 2021,This photo shows Kim Jong-un in 2021,"[('eng', 1.0)]",같은 김정은으로 보이지 않는데.. 지금은 세상에서 일어나는 일들이 마치 연극이나 영화를 보는것 같다,"It doesn't look like the same Kim Jong-un, but what's happening in the world right now is like watching a play or a movie.","[('kor', 1.0)]",This photo has been digitally doctored to make Kim Jong-un look thinner,This photo has been digitally doctored to make Kim Jong-un look thinner,"[('eng', 1.0)]",,,
22,"[(1647795974.0, 'fb')]",False information,33,"(1648020300.0, 'https://factcheckkorea.afp.com/doc.afp.com.326M97J#6bbf9f84d77c36e43171c6ef6915837d')",kor,kor,코로나19 백신 접종을 마친 호주 의사가 수술 도중 쓰러지는 모습이다,Australian doctor who has been vaccinated against COVID-19 collapses during surgery,"[('kor', 1.0)]","우리는 백신 캠페인 이후 쓰러지는 여러 스포츠맨, 기자, 인터뷰를 보았습니다.
 물론 우리는 실제로 카메라 앞에 있는 장면만 볼 수 있습니다.

 더 나쁜 것은 다른 사람들의 삶을 책임지는 사람들에게 일어날 때입니다 ...","We've seen several sportsmen, journalists, and interviews fall apart after the vaccine campaign.
 Of course, we can only see the scene that is actually in front of the camera.

 Even worse is when it happens to those who take responsibility for the lives of others...","[('kor', 1.0)]",이 영상은 코로나19 백신이 출시되기 이전인 2020년 1월 중국에서 촬영된 것이다,"This video was filmed in China in January 2020, before the COVID-19 vaccine was released.","[('kor', 1.0)]",,,
23,"[(1625899875.0, 'fb')]",Partly false information,15,"(1626300624.0, 'https://www.usatoday.com/story/news/factcheck/2021/07/14/fact-check-image-purported-electric-car-cemetery-taken-china/7938854002/#9ba2e01971e016d6866c4d197e71aa8a')",spa,eng,Image shows electric car 'cemetery' in France,Image shows electric car 'cemetery' in France,"[('eng', 1.0)]","Se acuerdan cuando decían que los autos eléctricos eran relativamente más ecológicos?

Ahora es hermoso verlos crecer libres en la naturaleza 🤗","Remember when they said that electric cars were relatively more ecological?

Now it's beautiful to see them grow free in nature 🤗","[('spa', 1.0)]",Fact check: Viral image of an electric car 'cemetery' shows vehicles from a ride-share company in China,Fact check: Viral image of an electric car 'cemetery' shows vehicles from a ride-share company in China,"[('eng', 1.0)]",,,
24,"[(1648054763.0, 'tw')]",,9,"(1648657920.0, 'https://factcheck.afp.com/doc.afp.com.3278898#466431b30fedcb013034105541f25301')",eng,eng,Leaves on trees prove Biden staged photo of departure to Europe,Leaves on trees prove Biden staged photo of departure to Europe,"[('eng', 1.0)]","@POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. 

Your administration is a propaganda machine spreading misinformation. 

Everything you do and say is a lie.","@POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. 

Your administration is a propaganda machine spreading misinformation. 

Everything you do and say is a lie.","[('eng', 1.0)]",White House trees do not prove Joe Biden staged departure photo,White House trees do not prove Joe Biden staged departure photo,"[('eng', 1.0)]",,,
25,"[(1657154221.0, 'fb')]",False information,17,"(1591094580.0, 'https://factcheck.afp.com/clip-actually-shows-bee-attack-outside-mall-nicaragua#755dead70ecd58544f77b7c306144147')",spa,eng,Video shows Asian giant hornet attack in US in May 2020,Video shows Asian giant hornet attack in US in May 2020,"[('eng', 1.0)]","UN ATAQUE DE AVISPONES...TENGO ENTENDIDO ES EN LOS ESTADOS UNIDOS.   OJO.
CUANDO HAYA UN PANAL HAY QUE MANTENER LA CALMA.  LOS RUIDOS Y MOVIMIENTOS BRUSCOS LAS ALTERAN.","A HORNET ATTACK...I UNDERSTAND IT IS IN THE UNITED STATES. EYE.
WHEN THERE IS A HONEYCOMB YOU HAVE TO KEEP CALM. THE NOISES AND SURPRISING MOVEMENTS ALTER THEM.","[('spa', 1.0)]",This clip actually shows a bee attack outside a mall in Nicaragua,This clip actually shows a bee attack outside a mall in Nicaragua,"[('eng', 1.0)]",,,
26,"[(1621922036.0, 'fb')]",False information,20,"(1622460360.0, 'https://factcheck.afp.com/stonehenge-restoration-photos-shared-alongside-false-claim-monument-was-built-1950s#36fa4b6b1788ec94880e73699fc77341')",kor,eng,Photographs show British prehistoric monument of Stonehenge was artificially created in 1954,Photographs show British prehistoric monument of Stonehenge was artificially created in 1954,"[('eng', 1.0)]",남의것 뺏어가서 가짜 유적지를 만들고 우리나라 진짜 유적지는 장난감으로 덮으려하는 망할놈들!!,Damn people who take other people's things and make fake ruins and cover up real ruins in Korea with toys!!,"[('kor', 1.0)]",Stonehenge restoration photos shared alongside false claim monument was 'built in 1950s',Stonehenge restoration photos shared alongside false claim monument was 'built in 1950s',"[('eng', 1.0)]",,,
27,"[(1646032311.0, 'fb'), (1646032334.0, 'fb')]",False information,25,"(1646931360.0, 'https://factual.afp.com/doc.afp.com.324V7AB#dd0bb9b41359f1a37e647a76e3f08a89')",spa,spa,Video muestra piloto ucraniano escapando de ataque ruso,Video shows Ukrainian pilot escaping Russian attack,"[('spa', 1.0)]","Un piloto ucraniano denominado el fantasma de Kiev  combatiendo y esquivando el ataque ruso  el héroe que derivo 6 aviones ruso 
 amén para ese valiente piloto 🙏🙏🙏🙏🙏","A Ukrainian pilot called the ghost of kyiv fighting and dodging the Russian attack the hero who drifted 6 Russian planes
 amen for that brave pilot 🙏🙏🙏🙏🙏","[('spa', 1.0)]","Video de un avión que esquiva disparos pertenece a un videojuego, no a un ataque en Ucrania","Video of a plane dodging gunfire belongs to a video game, not an attack in Ukraine","[('spa', 1.0)]",,,
28,"[(1599651574.0, 'fb')]",False information,40,"(1631865540.0, 'https://factcheckkorea.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MZ7DT-1#ebcc5d3791a0e87ee21e95b3f6bc4add')",kor,kor,Covid-19가 인공 지능 백신 접종 식별 인증서라는 뜻이다,It means Covid-19 is Artificial Intelligence Vaccination Identification Certificate,"[('kor', 1.0)]","이태리 의사의 코로나 검사와 백신에대한 
경고‼️‼️

꼬로놔주솨안돼!경고야!コロナワクチンけ警告

즉삭제각 영상이라 또 내 놀방영상이랑 짬뽕해서 
올려놨지용~ㅎ

구독과 좋아요 주세용~💕💕","Italian doctors about coronavirus tests and vaccines
Warning‼️‼️

Don't let it go! It's a warning! Coronawakchinke警告

It's a deleted video, so it's mixed with my playroom video.
I uploaded it~

Please subscribe and like~💕💕","[('kor', 1.0)]","Covid-19, '인공 지능 백신 접종 식별 인증서'라는 뜻이다? '코로나, 바이러스, 질병, 2019'의 영문 합성어","What does Covid-19 mean 'Artificial Intelligence Vaccination Identification Certificate'? English compound word of 'corona, virus, disease, 2019'","[('kor', 1.0)]",,,
